customer_id,customer_name,age,sex,height,weight,membership_type
3000,Kittie Mcclung,45,0,,170,
3737,Tami Dalessandro,30,0,,,
6632,Maurice Clymer,18,1,,,adults
2366,Stacie Oldroyd,59,0,,,
5653,Paul Spragg,41,1,7.3,197,adults
4033,Susanne Deuell,10,0,5,75,kids
7608,Debbie Davis,31,0,4.6,169,
3993,Elizabeth Fornes,53,0,4.7,,adults
1676,Annette Robinson,59,0,5.7,161,
153,Larry Blackston,14,1,,136,youth
2500,Richard Goddard,33,1,,,adults
5289,Marion Cohen,69,0,,168,
55,Mark Bracey,54,1,4.6,198,adults
3189,Dale Gurwell,18,1,,,adults
8634,Michael Jones,17,1,,147,youth
8586,Teri Howk,36,0,4.2,,
5243,Clara Harkin,28,0,,,
398,George Berry,21,1,6.6,190,adults
9745,Annie Ivey,48,0,4.4,,
250,Shelley Brown,67,0,,,
4958,Brian Hernandez,50,1,,200,adults
9431,Alice Villagomez,36,0,5.3,163,
7486,Sean Lazzara,23,1,,,adults
9534,Bradford Bull,19,1,,,adults
9796,Larry Harrill,13,1,,133,youth
6016,Nancy Farias,51,0,6.1,,adults
9918,Jesse Gandara,31,1,,,adults
9710,Lester Voeltner,22,1,6.3,,adults
3518,Debbie Smith,51,0,,,adults
2564,Kristy Johnson,31,0,4.4,,adults
8771,George Wong,43,1,5.7,,adults
1365,Reginald Chowenhill,35,1,,199,adults
3977,Brianna Weeks,47,0,,,
211,Charles Crum,12,1,5,81,kids
4480,Danelle Vickery,42,0,5.5,164,
2960,Donald Anchors,39,1,,,adults
9037,Christina Diaz,66,0,5.8,,
536,Antonio Mongelli,25,1,,,adults
3351,Michael Smith,55,1,,188,adults
2090,Tim Davis,12,1,4.9,85,kids
5749,Monica Rottinghaus,25,0,5.4,164,
5323,Melissa Clinton,48,0,,,adults
4614,Jacob Gordon,14,1,,138,youth
1258,Felix Bailey,17,1,,143,youth
1656,Linda Paul,9,0,4.5,75,kids
8942,Thomas Quagliano,47,1,5,198,adults
5838,Dorothy Cyphers,10,0,4.7,78,kids
4664,Sean Carey,48,1,6.1,195,adults
1799,William Fujii,36,1,,194,adults
8118,John Witt,43,1,5.9,203,adults
6751,Tonya Matherne,28,0,,,
8258,Ryan Rhine,46,1,,201,adults
1729,Ramon Payne,51,1,,,adults
7875,Jacqueline Nawrocki,34,0,,,
3335,Mildred Fried,45,0,,,
6379,Donovan Holler,54,1,5.3,,adults
4551,Donna Ferrara,70,0,5.5,,
7416,David Wheeler,38,1,5.9,,adults
4705,Danny Montero,9,1,4.5,69,kids
3039,Pamela Terry,54,0,5.2,,adults
3845,Rachel Kratochvil,30,0,5.2,164,
2590,Anita Cowan,41,0,5.7,160,
9219,Sterling Zimmerman,32,1,,208,adults
189,Anita Bridges,41,0,,,
9515,Carl Schaupp,32,1,,,adults
6424,Jose Bethel,30,1,,200,adults
2547,Randy Dugan,20,1,,201,adults
3101,Juan David,8,1,,68,kids
3251,Manuel Matthes,51,1,5.4,202,adults
2889,Taylor Belmont,18,1,,,adults
2002,Samuel Martin,31,1,5.9,,adults
5623,Marianna Fields,35,0,,163,
7472,Frank Byrd,17,1,4.8,131,youth
7425,Paige Cole,36,0,,,
2283,Georgia Mullins,58,0,4.7,172,
374,Sonny Hajek,22,1,4.9,202,adults
6078,Winford Beeman,40,1,,201,adults
3694,Ruth Kahn,64,0,4.4,,
5474,Robert Blevins,55,1,,196,adults
5287,Jane Provost,51,0,,159,
6313,Barbara Crutchfield,54,0,6.1,,adults
8690,John Jolley,28,1,4.6,184,adults
7065,Traci Bengtson,55,0,,,
2394,Andrew Battaglia,54,1,,,adults
1977,Juan Talmage,46,1,,,adults
890,Marie Rios,38,0,,,
3243,Harold Randle,17,1,,142,youth
3483,Timothy Maddox,60,1,,192,adults
7000,Ruth Hidinger,28,0,,173,
2951,Cynthia Byrum,43,0,,,
7659,Juan Lopez,47,1,,199,adults
2365,David Nelms,44,1,,,adults
1143,Lauren Wirkkala,28,0,,,adults
1199,Jeffery Simon,12,1,4.6,78,kids
7281,Adam Oldenburg,50,1,,,adults
5410,Alfred Deshayes,46,1,,,adults
2162,Elizabeth Tucker,46,0,,175,
6608,Timothy Mcleary,54,1,,194,adults
1896,Stanley Gonzales,9,1,,66,kids
7506,Rosa Roberson,31,0,,166,adults
4130,Robert Hughes,25,1,6.1,200,adults
8562,Christopher Stanick,30,1,,205,adults
